ArticleType,Abstract 
Article,"This paper presents preliminary findings from a `Green IT' research project, dealing with mobile phone and battery disposal and recycling by businesses and individuals in Bangladesh. Electronic waste (e-waste) is one of the fastest growing sources of waste. In addition to facing the issue of illegal exports of toxic e-waste, containing heavy metals, from the developed to the developing world, waste from current and emerging technologies used in developing countries is also growing, with the rapid increase in the use of computers, mobile phones and other devices. While many of the major electronics firms have initiated clean up practices aimed at reducing the e-waste problem, e.g. disposal and re-cycling initiatives, such schemes have in general not reached developing nations. The increasing e-waste has environmental, health, and other social implications in many developing countries, particularly with only a low level of awareness of this issue, as is the case in Bangladesh. The research presented in this paper, carried out in October-November 2009, covered awareness, current and planned practices of Green IT among 15 interviewees in Bangladesh, with special focus on mobile phones and batteries. Following an overview of Green IT in general and e-waste in particular, the paper outlines the methodology of the study, research findings and policy recommendations arising from the research results."
Article,"This paper is an attempt to figure out the awareness of green computing among the students of University of Technology, Mauritius, more specifically the School of Innovative Technologies and Engineering. The main research focuses are on the following questions: – 1. The use of computer and technology by the students – 2. Green computing knowledge of the students – 3. Green computing practices by the students – 4. Attitude of the students towards green computing"
Article,"Nowadays, the usage of computers is considered a daily necessity. The extravagant practice involving computer technology demands certain degrees of responsibility on the part of users to avoid or minimize harmful impacts associated with negative affecting the environment. The use of computers, their accessories and resources is the environmentally responsible. Green computing is emerging as a prompting solution to this crisis. Green technology is becoming more desired for the public through the work of governments and environmental organizations, and has been growing recently. Previously, the only focus was on IT equipment power processing while the energy’s infrastructure, cooling and data center space is always considered available, certain, and their cost is reasonable. Nowadays, the infrastructure of any data center is the factor that an organization focuses on because it is considered one of the main factors that determine the amount of power consumption in any data center. Behind this change, there are other factors causing the increasing interest of the green computing issue such as fast growing loads of energy cost, growing realization of global warming problems, and increasing the interest of national energy security. This article presents the current and future trends and the challenges that face the researcher in a field of Green Computing to minimize and reduce associated harmful impacts on the environment."
Article,"This study showed that the green IT awareness and practices of the undergraduate computing and business students at the University of Worcester are mediocre. In general, students do not pay much attention to how sustainable they are in their computer practices and hardware choices, yet, at the same time; they would like to see the lawmakers introduce ‘green’ computer design laws."
Article,Green Computing is the emerging computing technology. It is mainly used to save and protect environment as well as optimize energy consumption and try to keep green environment. It also refers to environmentally sustainable computing. Saving energy or reduction of carbon footprints is main aspects of Green Computing. This research is mainly focusing on to check awareness and usage of green computing with respect to gender. A questionnaire was prepared to check the level of awareness and usage of green computing. The questionnaires were given to 105 students. Now a days all students use computer for their study/ work. Less than 50% of all the students are aware about green computing it means most of the students are not aware about green computing. The research finding established that more awareness is required in order to make IT users to take greener approaches of using technology its peripherals devices. ____________________________________________________________________
Article,"Green computing is introduced for the environmentally sustainable use of computers and related resources like monitors, printer, storage devices, networking and communication systems efficiently and effectively with minimal or no impact on the environment. This study is an attempt to measure the awareness, practices and responsibility carried out by students towards green computing in institution of higher education. A questionnaire was developed to determine the awareness, practices and responsibility toward the green computing between IT and non-IT students. The results suggest that students have an average level awareness about green computing and their everyday green computing practices are not satisfactory. The results indicate the need for green computing education to be integrated into the higher education curriculum to increase awareness while minimize the harmful impact to the environment."
Article,"This article reports on a study undertaken to explore the state of Malaysian university students’ knowledge of green computing. Two types of knowledge were assessed, i.e. subjective knowledge and objective knowledge. The study also sought to ascertain the influence of gender and field of study on the two types of knowledge, and whether they were positively and significantly correlated. A total of 208 students from ICT- and non-ICT study programmes of a Malaysian public university took the survey. Data were collected using a self-developed green computing questionnaire. Descriptive statistics, independent-samples t-tests and bivariate correlation were employed to analyze the data. Results show a general lack of knowledge on various aspects of green computing, particularly with respect to Energy Star, E-PEAT, Malaysia Green Techology Policy, printer types and energy consumption, energy-efficient practices and hazardous chemicals present in computers. Gender influenced perceived knowledge – with female students reporting significantly higher knowledge levels – but not objective knowledge, while field of study influenced both in favor of students pursuing ICT-related degree programmes. A significant positive correlation was discovered between the two types of knowledge. The results suggest a strong need for green computing education to be initiated across Malaysian university campuses."
Article,"This paper is an attempt to figure out the awareness of green computing among the students of University of Technology, Mauritius, more specifically the School of Innovative Technologies and Engineering. The main research focuses are on the following questions: – 1. The use of computer and technology by the students – 2. Green computing knowledge of the students – 3. Green computing practices by the students – 4. Attitude of the students towards green computing"
Article,Green computing refers to the practice and procedures of using the computing resources in an eco friendly
Article,way while maintaining the overall performance of the computer. Green computing is a balanced and sustainable
Article,"This cross-sectional survey examined the structure of university students’ subjective knowledge of green computing–hypothesized to be a multidimensional construct with three important dimensions–and its association with pro-environmental behavior (PEB). Using a previously validated green computing questionnaire, data were collected from 842 undergraduate students attending ten different public universities in Malaysia. The sample was split into two random halves (n1 = 400 and n2 = 442) to allow for Factor Analysis procedures and Structural Equation Modeling (SEM) to be conducted. Principal Component Analysis extracted a three-factor structure of subjective knowledge consisting of knowledge about green computing (GC) vocabulary, computer nature or characteristics, and e-waste, while Confirmatory Factor Analysis procedures confirmed the structure’s measurement validity. SEM fit statistics indicated a strong influence of subjective GC knowledge on PEB with its three extracted dimensions cumulatively explaining 37% of students’ reported PEB. The results confirmed the study’s hypotheses regarding the multidimensionality of subjective knowledge, the adequacy of the measurement model of subjective knowledge, and its strong positive role in influencing PEB. The article concludes with guidelines for future research in areas involving green computing, su"
